"cruise"	"ship"	"ship_code"	"sample_number"	"time_UTC"	"lat_degN"	"lon_degE"	"start_temp_degC"	"start_salinity_psu"	"start_wind_speed_knots"	"start_wind_direction_deg"	"start_pump_speed_M3PerMin"	"stop_time_UTC"	"stop_lat_degN"	"stop_lon_degE"	"stop_temp_degC"	"stop_salinity_psu"	"stop_wind_speed_knots"	"stop_wind_direction_deg"	"stop_pump_speed_M3PerMin"	"sardine_eggs_count"	"anchovy_eggs_count"	"jack_mackerel_eggs_count"	"hake_eggs_count"	"squid_eggs_count"	"other_fish_eggs_count"	"resorted"	"Year"	"date"
199707	"DAVID STARR JORDAN"	"JD"	1	1997-07-01 19:59:17	32.9366	-117.3331	NA	NA	10.43	293.9747	0.64	1997-07-01 20:19:16	32.9157	-117.388	NA	NA	8.77	290.4377	0.64	0	0	0	0	NA	0	"t"	"1997"	"1997-07-01"
199802	"DAVID STARR JORDAN"	"JD"	1	1998-01-24 00:47:06	32.9004	-117.4012	18.054	33.985	12.01	297.4639	0.64	1998-01-24 00:59:34	32.8877	-117.4366	18	33.954	12.62	311.4125	0.64	0	0	NA	0	0	0	"t"	"1998"	"1998-01-24"
199803	"DAVID STARR JORDAN"	"JD"	1	1998-02-19 18:29:42	32.6917	-117.3251	16.524	33.172	5.71	120.055	0.64	1998-02-19 18:59:33	32.7469	-117.3904	16.399	33.434	4.45	142.6446	0.64	90	3	0	0	0	2	"t"	"1998"	"1998-02-19"
199804	"DAVID STARR JORDAN"	"JD"	1	1998-04-03 00:20:17	32.9389	-117.3185	16.347	32.741	6.8	284.5186	0.64	1998-04-03 00:30:03	32.9296	-117.3443	16.527	32.781	6.87	302.7697	0.64	0	0	0	0	0	0	"t"	"1998"	"1998-04-03"
199805	"DAVID STARR JORDAN"	"JD"	1	1998-05-01 16:28:05	32.6961	-117.3855	17.575	33.493	1.26	133.2578	0.64	1998-05-01 17:00:01	32.7364	-117.4735	17.555	33.572	2.87	78.3529	0.64	0	0	NA	0	1	0	"t"	"1998"	"1998-05-01"
199805	"DAVID STARR JORDAN"	"JD"	2	1998-05-01 17:00:01	32.7364	-117.4735	17.555	33.572	2.87	78.3529	0.64	1998-05-01 17:30:03	32.7757	-117.5595	16.974	33.448	1.65	331.2785	0.64	0	0	NA	0	0	0	"t"	"1998"	"1998-05-01"
199802	"DAVID STARR JORDAN"	"JD"	2	1998-01-24 00:59:34	32.8877	-117.4366	18	33.954	12.62	311.4125	0.64	1998-01-24 01:30:19	32.8501	-117.5253	18.082	33.971	10.73	307.9185	0.64	0	0	NA	0	0	1	"t"	"1998"	"1998-01-24"
199707	"DAVID STARR JORDAN"	"JD"	2	1997-07-01 22:51:11	32.9111	-117.4106	21.693	33.598	9.47	297.4517	0.64	1997-07-01 23:03:22	32.8938	-117.4419	21.693	33.598	13.65	297.2902	0.64	0	0	0	0	NA	0	"t"	"1997"	"1997-07-01"
199803	"DAVID STARR JORDAN"	"JD"	2	1998-02-19 18:59:33	32.7469	-117.3904	16.399	33.434	4.45	142.6446	0.64	1998-02-19 19:29:22	32.8022	-117.4567	16.084	33.41	6.55	280.8793	0.64	16	1	0	0	0	1	"t"	"1998"	"1998-02-19"
199804	"DAVID STARR JORDAN"	"JD"	2	1998-04-03 00:30:03	32.9296	-117.3443	16.527	32.781	6.87	302.7697	0.64	1998-04-03 00:47:04	32.9136	-117.3952	16.433	32.783	8.16	308.6206	0.64	0	0	0	0	0	2	"t"	"1998"	"1998-04-03"
