"ID"	"Cruise"	"CruiseAlias"	"Sta_ID"	"Cruz_Sta"	"Ship_Code"	"Order_Occ"	"Cruz_Code"	"St_Line"	"St_Station"	"Lat_Deg"	"Lat_Min"	"Lat_Hem"	"Lon_Deg"	"Lon_Min"	"Lon_Hem"	"Tow_Type"	"Net_Loc"	"End_Time"	"Tow_Date"	"Tow_Time"	"Vol_StrM3"	"Tow_DpthM"	"Ttl_PVolC3"	"Sml_PVolC3"	"HaulFact"	"Lat_DecDeg"	"Lon_DecDeg"	"dateTime"	"Year"	"date"
38886	199707	199707	"093.3 026.7"	"19970709330267"	"JD"	1	"C"	93.3	26.7	32	57.3	"N"	117	18.2	"W"	"CB"	"S"	"11:43"	"07/01/1997"	"11:37"	117.3	56	179	179	4.84	"32.955"	-117.303333333333	1997-07-01 11:37:00	"1997"	"1997-07-01"
38887	199707	199707	"093.3 026.7"	"19970709330267"	"JD"	1	"C"	93.3	26.7	32	57.3	"N"	117	18.2	"W"	"CB"	"P"	"11:43"	"07/01/1997"	"11:37"	117.3	56	NA	NA	4.84	"32.955"	-117.303333333333	1997-07-01 11:37:00	"1997"	"1997-07-01"
38888	199707	199707	"093.3 028.0"	"19970709330280"	"JD"	2	"C"	93.3	28	32	54.8	"N"	117	23.7	"W"	"CB"	"P"	"14:36"	"07/01/1997"	"14:15"	403	212	NA	NA	5.27	"32.9133333333333"	-117.395	1997-07-01 14:15:00	"1997"	"1997-07-01"
38889	199707	199707	"093.3 028.0"	"19970709330280"	"JD"	2	"C"	93.3	28	32	54.8	"N"	117	23.7	"W"	"CB"	"S"	"14:36"	"07/01/1997"	"14:15"	403	212	27	27	5.27	"32.9133333333333"	-117.395	1997-07-01 14:15:00	"1997"	"1997-07-01"
38890	199707	199707	"093.3 030.0"	"19970709330300"	"JD"	3	"C"	93.3	30	32	50.8	"N"	117	31.9	"W"	"CB"	"S"	"18:23"	"07/01/1997"	"18:02"	405.2	211	25	25	5.22	"32.8466666666667"	-117.531666666667	1997-07-01 18:02:00	"1997"	"1997-07-01"
38891	199707	199707	"093.3 030.0"	"19970709330300"	"JD"	3	"C"	93.3	30	32	50.8	"N"	117	31.9	"W"	"CB"	"P"	"18:23"	"07/01/1997"	"18:02"	405.2	211	NA	NA	5.22	"32.8466666666667"	-117.531666666667	1997-07-01 18:02:00	"1997"	"1997-07-01"
38892	199707	199707	"093.3 035.0"	"19970709330350"	"JD"	4	"C"	93.3	35	32	40.8	"N"	117	52.4	"W"	"CB"	"P"	"22:21"	"07/01/1997"	"22:00"	386.1	208	NA	NA	5.4	"32.68"	-117.873333333333	1997-07-01 22:00:00	"1997"	"1997-07-01"
38893	199707	199707	"093.3 035.0"	"19970709330350"	"JD"	4	"C"	93.3	35	32	40.8	"N"	117	52.4	"W"	"CB"	"S"	"22:21"	"07/01/1997"	"22:00"	386.1	208	130	130	5.4	"32.68"	-117.873333333333	1997-07-01 22:00:00	"1997"	"1997-07-01"
38894	199707	199707	"093.3 040.0"	"19970709330400"	"JD"	5	"C"	93.3	40	32	30.8	"N"	118	12.8	"W"	"CB"	"S"	"02:21"	"07/02/1997"	"02:00"	404.7	211	72	72	5.22	"32.5133333333333"	-118.213333333333	1997-07-02 02:00:00	"1997"	"1997-07-02"
38895	199707	199707	"093.3 040.0"	"19970709330400"	"JD"	5	"C"	93.3	40	32	30.8	"N"	118	12.8	"W"	"CB"	"P"	"02:21"	"07/02/1997"	"02:00"	404.7	211	NA	NA	5.22	"32.5133333333333"	-118.213333333333	1997-07-02 02:00:00	"1997"	"1997-07-02"
38896	199707	199707	"093.3 045.0"	"19970709330450"	"JD"	6	"C"	93.3	45	32	20.8	"N"	118	33.3	"W"	"CB"	"P"	"06:09"	"07/02/1997"	"05:48"	458.8	206	NA	NA	4.51	"32.3466666666667"	-118.555	1997-07-02 05:48:00	"1997"	"1997-07-02"
38897	199707	199707	"093.3 045.0"	"19970709330450"	"JD"	6	"C"	93.3	45	32	20.8	"N"	118	33.3	"W"	"CB"	"S"	"06:09"	"07/02/1997"	"05:48"	458.8	206	31	31	4.51	"32.3466666666667"	-118.555	1997-07-02 05:48:00	"1997"	"1997-07-02"
38898	199707	199707	"093.3 050.0"	"19970709330500"	"JD"	7	"C"	93.3	50	32	10.8	"N"	118	53.6	"W"	"CB"	"S"	"08:59"	"07/02/1997"	"08:38"	415.3	213	31	31	5.15	"32.18"	-118.893333333333	1997-07-02 08:38:00	"1997"	"1997-07-02"
38899	199707	199707	"093.3 050.0"	"19970709330500"	"JD"	7	"C"	93.3	50	32	10.8	"N"	118	53.6	"W"	"CB"	"P"	"08:59"	"07/02/1997"	"08:38"	415.3	213	NA	NA	5.15	"32.18"	-118.893333333333	1997-07-02 08:38:00	"1997"	"1997-07-02"
38900	199707	199707	"093.3 055.0"	"19970709330550"	"JD"	8	"C"	93.3	55	32	0.8	"N"	119	13.9	"W"	"CB"	"P"	"16:13"	"07/02/1997"	"15:52"	420.5	216	NA	NA	5.16	"32.0133333333333"	-119.231666666667	1997-07-02 15:52:00	"1997"	"1997-07-02"
38901	199707	199707	"093.3 055.0"	"19970709330550"	"JD"	8	"C"	93.3	55	32	0.8	"N"	119	13.9	"W"	"CB"	"S"	"16:13"	"07/02/1997"	"15:52"	420.5	216	24	24	5.16	"32.0133333333333"	-119.231666666667	1997-07-02 15:52:00	"1997"	"1997-07-02"
38902	199707	199707	"093.3 060.0"	"19970709330600"	"JD"	9	"C"	93.3	60	31	50.8	"N"	119	34.3	"W"	"CB"	"S"	"20:28"	"07/02/1997"	"20:07"	397.8	220	101	101	5.54	"31.8466666666667"	-119.571666666667	1997-07-02 20:07:00	"1997"	"1997-07-02"
38903	199707	199707	"093.3 060.0"	"19970709330600"	"JD"	9	"C"	93.3	60	31	50.8	"N"	119	34.3	"W"	"CB"	"P"	"20:28"	"07/02/1997"	"20:07"	397.8	220	NA	NA	5.54	"31.8466666666667"	-119.571666666667	1997-07-02 20:07:00	"1997"	"1997-07-02"
38904	199707	199707	"093.3 070.0"	"19970709330700"	"JD"	10	"C"	93.3	70	31	30.8	"N"	120	14.8	"W"	"CB"	"S"	"02:47"	"07/03/1997"	"02:26"	411.5	213	114	114	5.19	"31.5133333333333"	-120.246666666667	1997-07-03 02:26:00	"1997"	"1997-07-03"
38905	199707	199707	"093.3 080.0"	"19970709330800"	"JD"	11	"C"	93.3	80	31	10.8	"N"	120	55.2	"W"	"CB"	"S"	"08:49"	"07/03/1997"	"08:28"	413.7	211	48	48	5.1	"31.18"	-120.92	1997-07-03 08:28:00	"1997"	"1997-07-03"
